GEOID,community_area_num,community_area_num2,tract_name,VULNERABLE,FLOOD_SUSC,SURFACE_TE,AIR_TOXINS,PERCENT_CA,PRIORITY,RANK,VULRANK,COMMUNITY,asthma_pct,copd_pct,depression_pct,physical_inactivity_pct,mental_health_pct,obesity_pct,TotalPopulation,AQH_score,AQH_score_popweighted,AQH_score_max,AQH_percentile,AQH_block_group_count,AQH_tract_population
17031190602,19,19,Census Tract 1906.02,0.0556,9.71886694349,85.086036671,2.282,18.5002,0.73696299424,Very high,Very high,Belmont Cragin,8.6,4.5,17.0,29.5,14.9,33.6,"5,378",22.948,22.947,23.766,29.3,3.0,5867.0
17031840200,60,60,Census Tract 8402,0.0699,7.40281850021,80.5555316858,2.662,6.78787,0.61754433387,Very high,Very high,Bridgeport,8.4,7.8,15.9,36.5,15.4,25.4,"2,497",47.122,47.122,47.122,78.0,1.0,2448.0
17031530501,53,53,Census Tract 5305.01,0.0283,9.77708027654,77.5975103726,1.638,32.3502,-0.03601130119,Medium,High,West Pullman,13.8,12.2,18.8,40.5,20.6,47.1,"4,514",31.611,31.836,35.969,47.8,4.0,4704.0
17031020701,2,2,Census Tract 207.01,0.0486,6.69722177576,79.3331297708,2.92,30.6595,0.13264993503,Medium,Very high,West Ridge,8.5,4.6,16.8,18.7,11.9,23.9,"1,879",22.311,22.268,23.109,28.0,2.0,1729.0
17031831400,25,25,Census Tract 8314,0.0251,9.52338456818,84.1372715678,2.344,8.47569,0.85436946365,Very high,High,Austin,12.5,11.3,18.8,38.9,19.0,45.0,"2,820",59.505,55.896,64.593,92.0,2.0,3000.0
17031831300,25,25,Census Tract 8313,0.0558,9.33103445544,83.7875569046,2.46,9.42015,0.83508824276,Very high,Very high,Austin,11.7,10.7,19.7,44.8,20.3,44.4,"1,251",48.222,48.222,48.222,79.0,1.0,1043.0
17031010501,1,1,Census Tract 105.01,0.0215,8.61398450372,76.7517241388,2.935,20.3124,0.30637348195,High,High,Rogers Park,9.9,3.9,20.4,16.8,15.3,29.8,"4,206",16.729,16.8,18.84,13.7,3.0,4081.0
17031833000,28,28,Census Tract 8330,-0.1625,8.65461249392,81.0165187706,3.441,6.20193,0.84852493255,Very high,Low,Near West Side,9.0,2.1,21.5,11.1,14.4,24.7,"5,637",22.142,21.86,25.526,27.0,2.0,3567.0
17031760801,76,76,Census Tract 7608.01,0.169,6.66251173726,79.2957785468,4.88,23.6748,0.66608479091,Very high,Very high,Ohare,8.7,4.3,18.9,19.2,14.6,25.8,"4,403",21.591,21.972,23.327,26.0,2.0,4020.0
17031252101,25,25,Census Tract 2521.01,0.0407,3.083604448,77.1655172414,2.281,28.6179,-0.32775219761,Low,High,Austin,12.4,6.6,17.1,28.6,17.9,41.0,"1,502",57.161,57.161,57.161,92.0,1.0,1390.0
17031252102,25,25,Census Tract 2521.02,0.0408,9.5225846089,82.1323328792,2.331,18.6262,0.56997595722,Very high,High,Austin,13.6,9.5,18.8,36.6,20.6,45.4,"6,187",56.203,56.022,64.592,87.5,4.0,6980.0
17031252202,25,25,Census Tract 2522.02,0.0257,9.32819047761,81.8375,2.356,19.1406,0.53367696029,High,High,Austin,13.1,8.7,18.5,35.3,20.2,44.9,"4,783",71.671,71.685,74.998,98.4,5.0,4757.0
17031220601,22,22,Census Tract 2206.01,0.0523,9.27518569531,80.4672811058,3.061,21.0449,0.56953007922,Very high,Very high,Logan Square,8.6,2.1,19.7,12.8,13.5,24.8,"1,635",21.715,22.786,26.927,26.0,2.0,1893.0
17031210502,21,21,Census Tract 2105.02,0.1082,9.2492529303,82.4753926706,3.162,16.3737,0.78823970921,Very high,Very high,Avondale,9.3,3.8,20.6,22.6,16.8,30.3,"4,099",35.772,35.881,37.232,55.7,3.0,4653.0
17031220602,22,22,Census Tract 2206.02,0.0392,8.8635290359,79.9422396854,3.2,20.0854,0.55479646531,Very high,High,Logan Square,9.3,2.8,21.3,15.7,15.4,26.9,"4,877",24.195,25.465,31.006,31.6,5.0,5164.0
17031220901,22,22,Census Tract 2209.01,0.102,8.85568717563,82.6962025316,2.537,16.5579,0.64340431108,Very high,Very high,Logan Square,9.4,4.3,19.5,26.8,16.3,33.4,"2,903",33.586,33.515,36.502,51.7,3.0,2965.0
17031220902,22,22,Census Tract 2209.02,0.08,9.3902355033,82.356914894,2.616,16.7886,0.66972657377,Very high,Very high,Logan Square,9.1,4.2,19.7,26.8,16.5,33.8,"2,959",27.648,27.323,29.119,40.0,2.0,2943.0
17031200401,20,20,Census Tract 2004.01,0.0639,9.07642311962,84.7027718546,2.582,18.7199,0.72958654743,Very high,Very high,Hermosa,8.9,4.6,17.7,32.6,16.2,35.5,"3,743",34.548,33.74,36.034,53.5,2.0,3642.0
17031200402,20,20,Census Tract 2004.02,0.0782,9.50741904302,83.228776979,2.541,15.7396,0.72751369472,Very high,Very high,Hermosa,8.9,4.5,17.6,31.3,15.8,33.8,"4,192",30.271,30.239,32.78,45.0,3.0,4241.0
17031191301,19,19,Census Tract 1913.01,0.0944,9.45770038757,85.1281632662,2.235,14.4654,0.79006342506,Very high,Very high,Belmont Cragin,9.2,5.1,17.7,33.4,16.5,35.5,"5,214",29.268,29.271,29.64,43.3,3.0,5686.0
17031190601,19,19,Census Tract 1906.01,0.0907,6.46508595993,81.758008076,2.226,23.9311,0.23376674174,Medium,Very high,Belmont Cragin,9.0,4.6,17.7,30.6,15.9,33.0,"4,382",22.507,22.604,23.316,28.3,3.0,5126.0
17031190701,19,19,Census Tract 1907.01,0.0641,9.4504673375,84.0615384614,2.774,14.7218,0.82963414789,Very high,Very high,Belmont Cragin,8.8,4.1,17.4,27.6,15.0,32.9,"2,972",24.713,24.663,25.214,33.5,2.0,2861.0
17031190702,19,19,Census Tract 1907.02,0.082,9.28592603218,83.2788732398,2.332,17.8169,0.63746523866,Very high,Very high,Belmont Cragin,9.4,5.9,18.9,36.5,17.7,37.1,"4,952",30.012,29.861,31.034,44.3,3.0,5177.0
17031190401,19,19,Census Tract 1904.01,0.0935,9.64664491236,85.0386920972,2.526,14.0934,0.86286024636,Very high,Very high,Belmont Cragin,8.9,4.7,17.6,25.6,14.4,30.4,"4,325",20.184,20.204,20.3,23.0,2.0,3983.0
17031190402,19,19,Census Tract 1904.02,0.0906,9.61666471347,85.1777777786,2.615,15.8758,0.85422080926,Very high,Very high,Belmont Cragin,9.3,6.0,18.6,31.3,16.1,33.4,"5,294",21.985,21.979,22.003,27.0,2.0,5434.0
17031832100,6,6,Census Tract 8321,-0.0435,8.5365144447,78.2900000006,2.794,15.4337,0.42748537198,High,Medium,Lake View,9.8,2.9,22.9,14.6,16.8,26.7,"3,410",17.891,18.098,20.234,16.7,3.0,3234.0
17031843800,61,61,Census Tract 8438,0.0585,9.13917284432,79.3937759342,1.928,12.4599,0.42783356318,High,Very high,New City,10.9,7.5,19.1,32.4,18.0,37.5,"2,000",45.59,44.492,48.976,75.0,2.0,1699.0
